payment_id,action_taken,execution_status,recovered_amount,notes,execution_timestamp
pay_99ef3457f10941,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:50:16.614955+00:00
pay_bc0789d5882c4c,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:16.618222+00:00
pay_2dd9b14cbcae4c,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:50:16.621406+00:00
pay_6789e50f332e45,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:16.625926+00:00
pay_f1d67ea4b2d040,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:16.629734+00:00
pay_3b952fa41a6642,retry_now,failed,0,Too many requests,2026-08-21T13:50:16.721566+00:00
pay_87a81cc2ed8643,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:16.725941+00:00
pay_476a0f02115048,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:50:16.728519+00:00
pay_815990007dd041,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:16.731301+00:00
pay_719997839cce48,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:16.734823+00:00
pay_756f07a8e80444,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:16.738192+00:00
pay_4de63ce0dac049,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:16.741763+00:00
pay_35746940215c49,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:16.744689+00:00
pay_ba4a856830f143,retry_now,failed,0,Too many requests,2026-08-21T13:50:16.801846+00:00
pay_4463614bbe6c45,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:50:16.803928+00:00
pay_2531470561594c,retry_now,failed,0,Too many requests,2026-08-21T13:50:16.881670+00:00
pay_2411b287e2a64d,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:16.886060+00:00
pay_c12ca86133284d,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:16.890257+00:00
pay_0d0f68eeb6e244,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:50:16.893821+00:00
pay_cfbd430b58d94b,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:16.896317+00:00
pay_44c254cbabf747,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:16.899402+00:00
pay_f1d7b74656c145,retry_now,failed,0,Too many requests,2026-08-21T13:50:17.055084+00:00
pay_9adb916bb74a47,retry_now,failed,0,Too many requests,2026-08-21T13:50:17.161325+00:00
pay_32ef14b43cb44a,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:17.165939+00:00
pay_affec597019046,retry_now,failed,0,Too many requests,2026-08-21T13:50:17.241430+00:00
pay_216119fde87d4a,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:17.247095+00:00
pay_52bf197c365e4a,retry_now,failed,0,Too many requests,2026-08-21T13:50:17.321165+00:00
pay_94f071b753ef42,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:17.326335+00:00
pay_e7e9905e95fc45,retry_now,failed,0,Too many requests,2026-08-21T13:50:17.401375+00:00
pay_034312d49fa14c,retry_now,failed,0,Too many requests,2026-08-21T13:50:17.482378+00:00
pay_e93fee3805e449,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:17.486412+00:00
pay_59d6bd6a213542,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:17.490964+00:00
pay_a3240a1f508c47,retry_now,failed,0,Too many requests,2026-08-21T13:50:17.561333+00:00
pay_b24bb629a14a4b,retry_now,failed,0,Too many requests,2026-08-21T13:50:17.641460+00:00
pay_6e5ff97815ce48,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:17.646250+00:00
pay_7ca10fcce42a45,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:17.650654+00:00
pay_2a3858d4c0e14a,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:50:17.654321+00:00
pay_74a4633a7fea40,retry_now,failed,0,Too many requests,2026-08-21T13:50:17.721071+00:00
pay_658b789db20d41,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:17.724107+00:00
pay_5fa331218bab45,retry_now,failed,0,Too many requests,2026-08-21T13:50:17.801763+00:00
pay_8add8044a8b944,retry_now,failed,0,Too many requests,2026-08-21T13:50:17.881376+00:00
pay_88d134a65b714d,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:17.885756+00:00
pay_0e396faf32c845,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:50:17.889345+00:00
pay_eb9ca6b5d2b04a,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:17.893919+00:00
pay_1c2830e255a641,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:17.897863+00:00
pay_555df0f6b29245,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:17.901608+00:00
pay_93ca49082e4a41,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:17.906199+00:00
pay_4d5ed169c0dd4d,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:17.908837+00:00
pay_6ad5efc4403e48,retry_now,failed,0,Too many requests,2026-08-21T13:50:17.967824+00:00
pay_9b21693c87134e,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:50:17.971644+00:00
pay_d7b68697117047,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:50:17.973857+00:00
pay_1b8867ff569043,retry_now,failed,0,Too many requests,2026-08-21T13:50:18.041400+00:00
pay_c133b4f00f844c,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:50:18.047760+00:00
pay_198cc292508e4c,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:21.565871+00:00
pay_3f54f4ed4b644d,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:21.570881+00:00
pay_448b26a786f24f,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:21.575436+00:00
pay_2bb17e43ca4541,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:21.579572+00:00
pay_4744ac83dae044,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:21.582674+00:00
pay_86f8a929396a4a,retry_now,failed,0,payment link with given reference_id: pay_86f8a929396a4a already exists. Please create a payment link with a different reference_id,2026-08-21T13:58:22.599598+00:00
pay_fad24497accc4f,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:22.603345+00:00
pay_f5863af444e14d,retry_now,failed,0,payment link with given reference_id: pay_f5863af444e14d already exists. Please create a payment link with a different reference_id,2026-08-21T13:58:23.041061+00:00
pay_8daa230f1bc04f,retry_now,failed,0,payment link with given reference_id: pay_8daa230f1bc04f already exists. Please create a payment link with a different reference_id,2026-08-21T13:58:23.480022+00:00
pay_b0414e54d29d48,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:23.483337+00:00
pay_df58c3ef7d5d45,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:23.486905+00:00
pay_ee4d851071674e,retry_now,failed,0,payment link with given reference_id: pay_ee4d851071674e already exists. Please create a payment link with a different reference_id,2026-08-21T13:58:23.911429+00:00
pay_894811081a0645,send_reminder,skipped,0,'send_reminder' not yet automated - needs a scheduler/notifier,2026-08-21T13:58:23.915891+00:00
pay_b8583eec85e043,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:58:23.919726+00:00
pay_8762b97dbbb34c,retry_now,failed,0,payment link with given reference_id: pay_8762b97dbbb34c already exists. Please create a payment link with a different reference_id,2026-08-21T13:58:24.399514+00:00
pay_541fb5b6b7e341,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:24.403855+00:00
pay_03b9eede25884d,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:24.407621+00:00
pay_a5da5901405d4b,retry_now,failed,0,Too many requests,2026-08-21T13:58:24.479550+00:00
pay_7583fb49df2e43,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:24.487088+00:00
pay_c435a704261a49,retry_now,failed,0,Too many requests,2026-08-21T13:58:24.559314+00:00
pay_ec6ba30d08db4d,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:24.563144+00:00
pay_19943116b8314c,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:24.566402+00:00
pay_99ef3457f10941,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:58:24.569361+00:00
pay_bc0789d5882c4c,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:24.572245+00:00
pay_2dd9b14cbcae4c,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:58:24.575539+00:00
pay_6789e50f332e45,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:24.581025+00:00
pay_f1d67ea4b2d040,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:24.584331+00:00
pay_3b952fa41a6642,retry_now,failed,0,Too many requests,2026-08-21T13:58:24.679236+00:00
pay_87a81cc2ed8643,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:24.683748+00:00
pay_476a0f02115048,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:58:24.687889+00:00
pay_815990007dd041,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:24.692664+00:00
pay_719997839cce48,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:24.696568+00:00
pay_756f07a8e80444,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:24.700510+00:00
pay_4de63ce0dac049,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:24.704503+00:00
pay_35746940215c49,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:24.708230+00:00
pay_ba4a856830f143,retry_now,failed,0,Too many requests,2026-08-21T13:58:24.774802+00:00
pay_4463614bbe6c45,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:58:24.778561+00:00
pay_2531470561594c,retry_now,failed,0,Too many requests,2026-08-21T13:58:24.840786+00:00
pay_2411b287e2a64d,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:24.847120+00:00
pay_c12ca86133284d,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:24.851115+00:00
pay_0d0f68eeb6e244,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:58:24.854928+00:00
pay_cfbd430b58d94b,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:24.859138+00:00
pay_44c254cbabf747,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:24.866556+00:00
pay_f1d7b74656c145,retry_now,failed,0,Too many requests,2026-08-21T13:58:24.922022+00:00
pay_9adb916bb74a47,retry_now,failed,0,Too many requests,2026-08-21T13:58:24.999233+00:00
pay_32ef14b43cb44a,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:25.002964+00:00
pay_affec597019046,retry_now,failed,0,Too many requests,2026-08-21T13:58:25.086607+00:00
pay_216119fde87d4a,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:25.090258+00:00
pay_52bf197c365e4a,retry_now,failed,0,Too many requests,2026-08-21T13:58:25.163028+00:00
pay_94f071b753ef42,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:25.165964+00:00
pay_e7e9905e95fc45,retry_now,failed,0,Too many requests,2026-08-21T13:58:25.244811+00:00
pay_034312d49fa14c,retry_now,failed,0,Too many requests,2026-08-21T13:58:25.319229+00:00
pay_e93fee3805e449,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:25.322967+00:00
pay_59d6bd6a213542,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:25.326570+00:00
pay_a3240a1f508c47,retry_now,failed,0,Too many requests,2026-08-21T13:58:25.401167+00:00
pay_b24bb629a14a4b,retry_now,failed,0,Too many requests,2026-08-21T13:58:25.479832+00:00
pay_6e5ff97815ce48,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:25.484748+00:00
pay_7ca10fcce42a45,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:25.488520+00:00
pay_2a3858d4c0e14a,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:58:25.492512+00:00
pay_74a4633a7fea40,retry_now,failed,0,Too many requests,2026-08-21T13:58:25.599948+00:00
pay_658b789db20d41,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:25.604512+00:00
pay_5fa331218bab45,retry_now,failed,0,Too many requests,2026-08-21T13:58:25.701482+00:00
pay_8add8044a8b944,retry_now,failed,0,Too many requests,2026-08-21T13:58:25.808600+00:00
pay_88d134a65b714d,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:25.812434+00:00
pay_0e396faf32c845,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:58:25.815630+00:00
pay_eb9ca6b5d2b04a,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:25.819044+00:00
pay_1c2830e255a641,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:25.822090+00:00
pay_555df0f6b29245,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:25.824831+00:00
pay_93ca49082e4a41,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:25.827852+00:00
pay_4d5ed169c0dd4d,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:25.830198+00:00
pay_6ad5efc4403e48,retry_now,failed,0,Too many requests,2026-08-21T13:58:25.959180+00:00
pay_9b21693c87134e,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:25.963235+00:00
pay_d7b68697117047,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:58:25.966981+00:00
pay_1b8867ff569043,retry_now,failed,0,Too many requests,2026-08-21T13:58:26.040780+00:00
pay_c133b4f00f844c,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:58:26.045373+00:00
pay_198cc292508e4c,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:34.458601+00:00
pay_3f54f4ed4b644d,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:34.461647+00:00
pay_448b26a786f24f,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:34.463829+00:00
pay_2bb17e43ca4541,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:34.465698+00:00
pay_4744ac83dae044,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:34.467442+00:00
pay_86f8a929396a4a,retry_now,failed,0,Too many requests,2026-08-21T13:58:35.128903+00:00
pay_fad24497accc4f,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:35.132552+00:00
pay_f5863af444e14d,retry_now,failed,0,Too many requests,2026-08-21T13:58:35.199744+00:00
pay_8daa230f1bc04f,retry_now,failed,0,Too many requests,2026-08-21T13:58:35.279600+00:00
pay_b0414e54d29d48,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:35.282355+00:00
pay_df58c3ef7d5d45,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:35.284364+00:00
pay_ee4d851071674e,retry_now,failed,0,Too many requests,2026-08-21T13:58:35.359512+00:00
pay_894811081a0645,send_reminder,skipped,0,'send_reminder' not yet automated - needs a scheduler/notifier,2026-08-21T13:58:35.362854+00:00
pay_b8583eec85e043,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:58:35.364626+00:00
pay_8762b97dbbb34c,retry_now,failed,0,Too many requests,2026-08-21T13:58:35.440068+00:00
pay_541fb5b6b7e341,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:35.444055+00:00
pay_03b9eede25884d,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:35.447479+00:00
pay_a5da5901405d4b,retry_now,failed,0,Too many requests,2026-08-21T13:58:35.519577+00:00
pay_7583fb49df2e43,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:35.524538+00:00
pay_c435a704261a49,retry_now,failed,0,Too many requests,2026-08-21T13:58:35.599897+00:00
pay_ec6ba30d08db4d,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:35.602577+00:00
pay_19943116b8314c,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:35.605500+00:00
pay_99ef3457f10941,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:58:35.607398+00:00
pay_bc0789d5882c4c,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:35.609177+00:00
pay_2dd9b14cbcae4c,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:58:35.612229+00:00
pay_6789e50f332e45,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:35.614644+00:00
pay_f1d67ea4b2d040,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:35.616570+00:00
pay_3b952fa41a6642,retry_now,failed,0,Too many requests,2026-08-21T13:58:35.679775+00:00
pay_87a81cc2ed8643,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:35.682522+00:00
pay_476a0f02115048,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:58:35.685385+00:00
pay_815990007dd041,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:35.687357+00:00
pay_719997839cce48,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:35.689863+00:00
pay_756f07a8e80444,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:35.693872+00:00
pay_4de63ce0dac049,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:35.696833+00:00
pay_35746940215c49,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:35.699565+00:00
pay_ba4a856830f143,retry_now,failed,0,Too many requests,2026-08-21T13:58:35.799474+00:00
pay_4463614bbe6c45,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:58:35.804592+00:00
pay_2531470561594c,retry_now,failed,0,Too many requests,2026-08-21T13:58:35.937807+00:00
pay_2411b287e2a64d,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:35.942782+00:00
pay_c12ca86133284d,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:35.946675+00:00
pay_0d0f68eeb6e244,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:58:35.951885+00:00
pay_cfbd430b58d94b,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:35.954434+00:00
pay_44c254cbabf747,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:35.957487+00:00
pay_f1d7b74656c145,retry_now,failed,0,Too many requests,2026-08-21T13:58:36.017614+00:00
pay_9adb916bb74a47,retry_now,failed,0,Too many requests,2026-08-21T13:58:36.097718+00:00
pay_32ef14b43cb44a,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:36.101641+00:00
pay_affec597019046,retry_now,failed,0,Too many requests,2026-08-21T13:58:36.319120+00:00
pay_216119fde87d4a,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:36.325351+00:00
pay_52bf197c365e4a,retry_now,failed,0,Too many requests,2026-08-21T13:58:36.400651+00:00
pay_94f071b753ef42,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:36.404775+00:00
pay_e7e9905e95fc45,retry_now,failed,0,Too many requests,2026-08-21T13:58:36.479978+00:00
pay_034312d49fa14c,retry_now,failed,0,Too many requests,2026-08-21T13:58:36.568188+00:00
pay_e93fee3805e449,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:36.574033+00:00
pay_59d6bd6a213542,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:36.577869+00:00
pay_a3240a1f508c47,retry_now,failed,0,Too many requests,2026-08-21T13:58:36.653786+00:00
pay_b24bb629a14a4b,retry_now,failed,0,Too many requests,2026-08-21T13:58:36.719282+00:00
pay_6e5ff97815ce48,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:36.723476+00:00
pay_7ca10fcce42a45,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:36.727161+00:00
pay_2a3858d4c0e14a,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:58:36.730687+00:00
pay_74a4633a7fea40,retry_now,failed,0,Too many requests,2026-08-21T13:58:36.879176+00:00
pay_658b789db20d41,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:36.882917+00:00
pay_5fa331218bab45,retry_now,failed,0,Too many requests,2026-08-21T13:58:36.959867+00:00
pay_8add8044a8b944,retry_now,failed,0,Too many requests,2026-08-21T13:58:37.039145+00:00
pay_88d134a65b714d,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:37.043082+00:00
pay_0e396faf32c845,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:58:37.046465+00:00
pay_eb9ca6b5d2b04a,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:37.049807+00:00
pay_1c2830e255a641,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:37.053020+00:00
pay_555df0f6b29245,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:37.059079+00:00
pay_93ca49082e4a41,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:37.061651+00:00
pay_4d5ed169c0dd4d,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:37.063634+00:00
pay_6ad5efc4403e48,retry_now,failed,0,Too many requests,2026-08-21T13:58:37.120901+00:00
pay_9b21693c87134e,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T13:58:37.125704+00:00
pay_d7b68697117047,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:58:37.129398+00:00
pay_1b8867ff569043,retry_now,failed,0,Too many requests,2026-08-21T13:58:37.190101+00:00
pay_c133b4f00f844c,retry_later,skipped,0,'retry_later' not yet automated - needs a scheduler/notifier,2026-08-21T13:58:37.194646+00:00
pay_198cc292508e4c,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T14:00:43.736922+00:00
pay_3f54f4ed4b644d,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T14:00:43.740479+00:00
pay_448b26a786f24f,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T14:00:43.743873+00:00
pay_2bb17e43ca4541,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T14:00:43.745838+00:00
pay_4744ac83dae044,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T14:00:43.747145+00:00
pay_86f8a929396a4a,retry_now,failed,0,payment link with given reference_id: pay_86f8a929396a4a already exists. Please create a payment link with a different reference_id,2026-08-21T14:00:44.731068+00:00
pay_fad24497accc4f,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T14:00:44.737471+00:00
pay_f5863af444e14d,retry_now,failed,0,payment link with given reference_id: pay_f5863af444e14d already exists. Please create a payment link with a different reference_id,2026-08-21T14:00:45.164572+00:00
pay_8daa230f1bc04f,retry_now,failed,0,payment link with given reference_id: pay_8daa230f1bc04f already exists. Please create a payment link with a different reference_id,2026-08-21T14:00:45.599578+00:00
pay_b0414e54d29d48,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T14:00:45.603911+00:00
pay_df58c3ef7d5d45,escalate_human,skipped,0,"routed to human review, no automated action taken",2026-08-21T14:00:45.607163+00:00
pay_ee4d851071674e,retry_now,failed,0,payment link with given reference_id: pay_ee4d851071674e already exists. Please create a payment link with a different reference_id,2026-08-21T14:00:46.043554+00:00
