amount,method,hour_of_day,day_of_week,customer_prior_fail_rate,customer_txn_count_so_far,actual_at_risk,risk_score,flagged_at_risk
16827.44,card,12,0,0.4,5,0,0.4334577508914964,0
11835.56,upi,14,3,0.5,6,0,0.25493275036741614,0
2951.28,wallet,1,3,0.16666666666666666,12,0,0.4949381946571279,0
11410.46,card,18,6,0.5,4,0,0.5507694548047536,1
11994.04,card,9,0,0.0,2,0,0.3582011710075228,0
1111.97,wallet,7,0,0.6,10,0,0.5164626415259898,1
18810.74,netbanking,20,1,0.0,1,0,0.5040937838292983,1
1146.77,upi,9,1,0.5,6,0,0.41316263866934366,0
21287.3,card,11,0,0.0,2,0,0.3920638333370881,0
11739.44,card,23,5,0.3333333333333333,6,0,0.562157112557825,1
14646.18,upi,5,2,0.2857142857142857,7,0,0.38129190589303713,0
3801.81,upi,0,5,0.4,5,0,0.40354804433094527,0
14162.31,card,23,5,0.0,1,1,0.5190396615493231,1
2455.88,wallet,6,3,0.4166666666666667,12,0,0.5377717181294221,1
2927.94,upi,8,0,0.0,1,0,0.34525611258912137,0
23356.53,card,12,5,0.3333333333333333,3,0,0.531332123964825,1
2187.74,card,21,0,0.0,0,0,0.3968746259267827,0
12615.36,upi,9,5,0.0,4,0,0.40436537069144296,0
1615.35,wallet,19,5,0.25,4,1,0.5483775127697208,1
14997.7,netbanking,12,1,0.0,0,0,0.4387857070361232,0
8864.81,emandate,1,6,0.0,0,0,0.7100090262950195,1
13997.04,upi,16,2,0.0,0,0,0.2762083829268525,0
24214.68,card,9,3,0.3333333333333333,3,1,0.5772366556575582,1
12127.41,upi,5,5,0.0,1,1,0.43323458446318197,0
3878.51,wallet,8,6,0.0,0,0,0.5272777979732886,1
11018.82,netbanking,6,3,0.0,2,0,0.4760181503075621,0
2432.0,upi,23,5,0.3333333333333333,3,0,0.38327865904100006,0
10446.38,card,22,4,0.3333333333333333,3,1,0.5499774041802303,1
2642.38,emandate,13,5,0.5,4,0,0.6367779419679384,1
6590.9,card,6,4,0.0,1,1,0.5036778230449332,1
557.03,netbanking,9,6,1.0,2,0,0.5200456933431431,1
1295.95,netbanking,3,4,1.0,1,0,0.5511627105935197,1
5122.67,netbanking,1,0,0.5,6,1,0.5001241158781824,1
2278.47,wallet,14,5,0.0,0,0,0.5521418217596338,1
5317.27,card,20,2,0.16666666666666666,6,0,0.419440706885012,0
9116.21,emandate,8,1,0.6,5,0,0.6487925700589041,1
21328.01,card,3,1,0.3333333333333333,3,1,0.43931033770669187,0
10220.01,card,23,4,0.0,2,0,0.5494665162456854,1
4180.21,upi,11,1,0.3333333333333333,6,0,0.2678150158113199,0
7279.34,card,14,0,0.0,1,0,0.33614027375334643,0
11219.76,card,23,0,0.2857142857142857,7,0,0.4592932768083991,0
10600.04,card,17,1,0.5,4,0,0.4124484936300824,0
587.63,wallet,16,1,1.0,2,0,0.35515291256919285,0
17188.58,card,13,5,0.2857142857142857,7,0,0.5228094554885295,1
6788.81,upi,4,6,0.4,10,0,0.47057611667915156,0
1173.0,upi,9,2,0.5454545454545454,11,1,0.4137616484769575,0
3762.64,netbanking,20,6,0.16666666666666666,6,1,0.5360366115451725,1
11492.72,netbanking,20,5,0.3333333333333333,3,0,0.5836137770790497,1
6015.47,upi,10,3,0.0,1,0,0.2544534744499211,0
3063.44,upi,21,5,0.5,4,0,0.272390808554935,0
1599.14,emandate,16,4,0.3333333333333333,9,1,0.48941664088117914,0
3061.03,wallet,2,0,0.3333333333333333,6,0,0.5369816845366869,1
18015.32,netbanking,6,3,0.3333333333333333,3,0,0.556053356832068,1
6370.81,emandate,8,6,0.0,1,0,0.7688478152647502,1
2259.3,card,10,3,0.4444444444444444,9,0,0.45226640048820543,0
28600.21,netbanking,9,3,1.0,2,0,0.583015322160563,1
3716.98,card,5,0,0.6,5,1,0.4301616730405169,0
17031.92,card,20,5,0.5,2,0,0.6080366256971486,1
2835.19,card,7,6,0.5,2,0,0.5443096698949055,1
14973.58,card,2,3,0.0,0,0,0.5126482074937971,1
11070.06,card,1,0,0.0,1,0,0.4208269150995541,0
3548.0,wallet,16,4,0.36363636363636365,11,0,0.4876839096183744,0
356.08,emandate,19,0,0.0,2,0,0.4754712126828772,0
24138.15,netbanking,17,0,0.2,5,0,0.47893240746654187,0
22616.08,netbanking,4,4,0.0,1,0,0.5553423170782619,1
11230.25,upi,15,4,0.0,3,1,0.3441951137376085,0
2159.48,wallet,5,6,0.0,6,1,0.474035197179585,0
19430.79,card,19,3,0.14285714285714285,7,0,0.4601870439987828,0
3014.29,card,4,3,0.4444444444444444,9,1,0.44551022446995736,0
10196.84,upi,21,2,0.6666666666666666,3,0,0.2388627904047399,0
24271.12,card,22,1,0.23076923076923078,13,0,0.5782639157048891,1
11119.34,upi,0,2,0.0,1,0,0.28003424775652436,0
7970.5,upi,5,4,0.0,0,0,0.31704707183789677,0
6020.61,upi,15,5,0.375,8,0,0.33381880974985,0
26400.61,netbanking,14,5,0.5,2,0,0.5838077599606156,1
3063.9,wallet,3,3,0.0,3,0,0.5138980718261678,1
12536.1,upi,15,5,0.0,3,0,0.41130292772901245,0
1704.24,card,12,4,0.0,2,1,0.5523994099301031,1
3956.34,wallet,11,6,0.0,2,0,0.5256901722083304,1
10033.49,netbanking,4,5,0.0,1,0,0.4660012856377193,0
24118.86,card,4,2,0.5,2,0,0.4203052507090004,0
22819.94,card,9,6,0.4,5,0,0.44397690315405414,0
2615.58,wallet,8,3,0.4,5,0,0.5206385857315406,1
11630.49,upi,14,5,0.18181818181818182,11,0,0.3919997228188955,0
49128.09,netbanking,8,0,0.4,5,1,0.6305265283898207,1
3968.58,wallet,7,3,0.42857142857142855,7,0,0.4592528996494345,0
22407.32,card,5,1,0.3333333333333333,3,0,0.4391115410727746,0
14762.96,card,11,3,0.0,1,0,0.567703774353573,1
44687.49,netbanking,14,3,0.0,1,0,0.6435989406415927,1
4600.89,wallet,16,6,0.0,0,1,0.526819332790888,1
27665.86,netbanking,10,0,0.2,10,0,0.5329838119047046,1
428.94,wallet,12,4,0.5,2,0,0.44419999346402866,0
1124.4,netbanking,0,2,0.2857142857142857,7,0,0.5263394566357411,1
34136.15,netbanking,10,6,0.5,2,1,0.6134038083111882,1
25631.84,netbanking,5,5,0.0,0,0,0.6445294929566602,1
4762.14,card,17,2,0.3333333333333333,3,0,0.4218040010707957,0
535.31,upi,11,5,0.6,5,0,0.33225972231907447,0
7805.02,card,6,1,0.42857142857142855,7,1,0.4322744519571567,0
11025.01,netbanking,5,1,0.0,3,1,0.397896558715308,0
42690.9,netbanking,13,6,1.0,2,1,0.5855147951208818,1
15499.34,card,3,2,0.2857142857142857,7,0,0.48711736378397413,0
12661.16,card,11,1,0.0,1,1,0.4046238421789582,0
2565.51,card,16,6,0.0,1,1,0.5420768501825455,1
7988.9,emandate,1,4,0.5,2,0,0.6272469430102309,1
14679.65,upi,1,0,0.2,5,0,0.4362257815313228,0
26436.15,netbanking,5,6,0.5,4,1,0.7487685544064576,1
18534.28,card,5,4,0.0,5,0,0.4791070577071196,0
4074.67,upi,4,6,0.5,10,1,0.41490389881191053,0
6477.41,upi,2,5,0.2,5,0,0.3563040725707864,0
2032.64,netbanking,6,2,0.42857142857142855,7,0,0.453338347380977,0
5090.4,upi,12,2,0.0,0,0,0.20966705330065302,0
14709.59,upi,0,2,0.2,5,1,0.4276766673130468,0
23404.11,card,18,0,0.0,1,0,0.364190005867677,0
688.28,upi,9,5,0.16666666666666666,6,0,0.3725480603604565,0
11532.67,card,17,5,0.2,5,1,0.49806732107557317,0
14615.05,card,1,5,0.2,10,1,0.5028537974850763,1
8146.08,card,4,4,0.15384615384615385,13,0,0.4057149688970339,0
13446.9,upi,17,3,0.4444444444444444,9,0,0.3114276440530575,0
44337.27,netbanking,0,6,0.0,0,0,0.6369387561229933,1
15581.69,card,10,4,0.2857142857142857,7,0,0.5053407235868931,1
3938.79,card,5,2,0.45454545454545453,11,1,0.44122451523031636,0
10520.61,card,10,3,0.0,2,1,0.49951129310469905,0
12299.03,upi,10,5,0.4,5,0,0.4053690640262123,0
9821.44,emandate,4,5,0.5,4,0,0.7003633812331654,1
1866.52,wallet,13,3,0.25,4,0,0.528428412048185,1
1367.25,wallet,10,2,0.5,2,0,0.4867165540804539,0
13403.27,netbanking,4,6,0.5,4,0,0.6603783038828871,1
21569.1,card,0,4,0.0,8,1,0.5112329133049104,1
4279.36,wallet,17,1,0.1111111111111111,9,0,0.3688302565292795,0
15357.49,card,15,6,0.0,3,1,0.5764646942222093,1
1929.47,upi,18,1,0.5,4,0,0.3182864149304106,0
3651.94,upi,4,6,0.4,10,0,0.4860983294530748,0
14128.31,upi,1,0,0.0,1,0,0.32409053698420826,0
15322.24,card,3,1,0.5,6,0,0.46394342774210695,0
124.39,wallet,20,5,0.3333333333333333,6,0,0.4758536716793566,0
815.99,upi,23,4,0.0,0,0,0.49570169487431653,0
11857.29,upi,5,3,0.0,4,0,0.3128284316198454,0
1805.35,wallet,7,0,0.5714285714285714,7,0,0.455605528289618,0
22296.25,card,4,4,0.0,1,0,0.5205094246836585,1
6330.92,card,10,5,0.0,1,1,0.5160524119302702,1
26091.28,netbanking,3,4,0.0,1,0,0.6426486951364795,1
5857.05,emandate,1,1,0.2222222222222222,9,1,0.5891828112056726,1
32543.73,netbanking,6,3,0.0,3,0,0.6068516832251497,1
15586.25,card,17,1,0.6666666666666666,3,0,0.4349813927009232,0
13426.19,card,14,6,0.0,5,0,0.48164666650047006,0
20865.67,card,2,4,1.0,1,0,0.5611932204484898,1
2549.12,card,20,6,0.2,5,0,0.5013747759885736,1
15747.22,card,22,1,0.3333333333333333,6,1,0.48276280704575264,0
10381.7,upi,4,3,0.2,5,0,0.27892829720526036,0
43259.92,netbanking,19,1,0.4444444444444444,9,1,0.5662517281314308,1
12956.74,upi,3,4,0.35714285714285715,14,0,0.4167598592380635,0
9899.94,netbanking,21,0,0.25,4,1,0.5097622020788053,1
12341.27,upi,11,4,0.5,4,0,0.2844936515829651,0
7210.5,card,10,1,0.6666666666666666,3,0,0.3916782692676313,0
4368.17,wallet,17,2,0.0,7,1,0.3493364059977343,0
4482.94,wallet,12,0,0.5,2,0,0.40820328978453396,0
8675.12,emandate,9,4,0.5555555555555556,9,1,0.53902668753199,1
6565.81,emandate,22,6,1.0,1,0,0.57664500127156,1
8148.82,netbanking,2,2,0.3333333333333333,3,0,0.48497650781248697,0
10661.89,upi,14,4,0.2857142857142857,7,0,0.2640011890991727,0
6359.15,card,0,4,0.14285714285714285,7,0,0.5078285904300899,1
6107.02,upi,7,1,0.2,5,0,0.23658248997429374,0
1381.04,upi,21,2,0.25,8,0,0.37514568544110916,0
18620.18,card,21,6,0.0,2,1,0.5552884850659429,1
475.64,wallet,6,3,0.16666666666666666,6,0,0.48925617470231925,0
10935.23,card,0,0,0.25,8,0,0.5302654502133943,1
25248.81,netbanking,12,6,0.0,0,0,0.6678549695664341,1
9595.43,upi,21,0,0.14285714285714285,7,0,0.26199541003741106,0
